KEY,NAME,ID,PHONE,COST,COSTTIME
96,linyubin,101,13025739386,85.0,2019.06.01 23:41:06
97,NI,103,123456789,50.0,2019.06.01 23:47:31
98,linyubin,101,13025739386,90.0,2019.06.02 00:13:01
99,linyubin,101,13025739386,50.0,2019.06.02 00:21:25
100,LINYUBIN,10024,13025739386,600.0,2019.06.02 00:21:57
101,YD,10086,1008611,8000.0,2019.06.02 21:24:23
102,TESTQ,112,1549,10000.0,2019.06.02 21:27:08
103,YU,113,1234,1500.0,2019.06.02 21:28:13
104,K,114,54,200.0,2019.06.02 21:30:08
105,KO,115,54,500.0,2019.06.02 21:30:39
106,KO1,116,545,501.0,2019.06.02 21:31:03
107,LP,152,489,50.0,2019.06.02 21:31:43
108,I,118,7,8000.0,2019.06.02 21:33:03
109,OPW,158,189,8000.0,2019.06.02 22:00:33
110,LP,152,489,2.0,2019.06.02 22:02:29
111,LP,152,489,200.0,2019.06.02 22:02:40
112,LP,152,489,400.0,2019.06.02 22:02:51
113,LP,152,489,60.0,2019.06.02 22:04:51
114,LL,1589,158,9000.0,2019.06.02 22:05:50
115,LP,152,489,800.0,2019.06.02 22:06:18
116,LP,152,489,-800.0,2019.06.02 22:06:44
117,LP,152,489,6.0,2019.06.02 22:07:10
118,LP,152,489,9.0,2019.06.02 22:07:31
119,I,8888,456,50.0,2019.06.02 22:08:17
120,I,8888,456,120.0,2019.06.02 22:08:28
121,I,8888,456,90.0,2019.06.02 22:08:39
122,I,8888,456,90.0,2019.06.02 22:08:51
123,I,8888,456,600.0,2019.06.02 22:08:59
124,I,8888,456,52.0,2019.06.02 22:09:16
125,O,4567,59,50.0,2019.06.02 22:12:01
126,O,4567,59,152.0,2019.06.02 22:12:10
127,O,4567,59,500.0,2019.06.02 22:12:44
128,O,4567,59,2.0,2019.06.02 22:13:22
129,O,4567,59,1.0,2019.06.02 22:18:03
130,O,4567,59,50.0,2019.06.02 22:18:17
131,O,4567,59,1000.0,2019.06.02 22:18:29
132,O,4567,59,2000.0,2019.06.02 22:22:26
133,n,789,456,12.0,2019.06.02 22:22:55
134,n,789,456,89.0,2019.06.02 22:23:01
135,n,789,456,95.0,2019.06.02 22:23:07
136,n,789,456,5.0,2019.06.02 22:23:10
137,n,789,456,30.0,2019.06.02 22:23:15
138,n,789,456,400.0,2019.06.02 22:23:21
139,n,789,456,400.0,2019.06.02 22:23:31
140,o,312,4,80.0,2019.06.02 22:24:31
141,o,312,4,90.0,2019.06.02 22:24:34
142,o,312,4,50.0,2019.06.02 22:24:38
143,o,312,4,90.0,2019.06.02 22:24:46
144,o,312,4,200.0,2019.06.02 22:24:50
145,W,12345,32,200.0,2019.06.02 22:26:13
146,W,12345,32,2.0,2019.06.02 22:26:21
147,W,12345,32,300.0,2019.06.02 22:26:27
148,W,12345,32,500.0,2019.06.02 22:26:35
149,W,12345,32,5000.0,2019.06.02 22:26:40
150,FW,1234567,232,50.0,2019.06.02 22:27:45
151,FW,1234567,232,150.0,2019.06.02 22:27:57
152,FW,1234567,232,500.0,2019.06.02 22:28:07
153,FW,1234567,232,8000.0,2019.06.02 22:28:13
154,IO,7891,478,50.0,2019.06.02 22:36:38
155,IO,7891,478,150.0,2019.06.02 22:36:45
156,IO,7891,478,200.0,2019.06.02 22:36:57
157,JHI,10010,789,50.0,2019.06.02 22:38:28
158,JHI,10010,789,150.0,2019.06.02 22:38:31
159,JHI,10010,789,201.0,2019.06.02 22:38:42
160,NI,103,123456789,50.0,2019.06.02 22:46:45
161,NI,103,123456789,50.0,2019.06.02 22:47:13
162,NI,103,123456789,50.0,2019.06.02 22:51:30
163,NI,103,123456789,200.0,2019.06.02 22:51:41
164,NI,103,123456789,100.0,2019.06.02 22:51:49
165,NI,103,123456789,1.0,2019.06.02 22:51:53
166,SWE,1008611,1324569,50.0,2019.06.02 22:54:20
167,NI,103,123456789,50.0,2019.06.02 22:57:19
168,NI,103,123456789,80.0,2019.06.02 22:57:28
169,NI,103,123456789,400.0,2019.06.02 22:57:34
170,SWE,1008611,1324569,50.0,2019.06.02 22:58:41
171,SWE,1008611,1324569,100.0,2019.06.02 22:58:45
172,SWE,1008611,1324569,1.0,2019.06.02 22:58:49
173,SWE,1008611,1324569,199.0,2019.06.02 22:58:57
174,SWE,1008611,1324569,1.0,2019.06.02 22:59:01
175,SWE,1008611,1324569,1.0,2019.06.02 22:59:07
176,SWE,1008611,1324569,98.0,2019.06.02 22:59:10
177,SWE,1008611,1324569,1.0,2019.06.02 22:59:13
178,SWE,1008611,1324569,499.0,2019.06.02 22:59:20
179,SWE,1008611,1324569,499.0,2019.06.02 22:59:42
180,O,8978,8,50.0,2019.06.02 23:00:07
181,O,8978,8,50.0,2019.06.02 23:00:11
182,O,8978,8,100.0,2019.06.02 23:00:27
183,O,8978,8,1.0,2019.06.02 23:00:32
184,O,8978,8,299.0,2019.06.02 23:00:41
185,O,8978,8,1.0,2019.06.02 23:00:43
186,O,8978,8,499.0,2019.06.02 23:00:48
187,O,8978,8,499.0,2019.06.02 23:07:38
188,se,456798,456,50.0,2019.06.02 23:08:02
189,se,456798,456,50450.0,2019.06.02 23:08:05
190,889,48,8798,50.0,2019.06.02 23:08:20
191,889,48,8798,450.0,2019.06.02 23:08:24
192,889,48,8798,1.0,2019.06.02 23:08:30
193,889,48,8798,499.0,2019.06.02 23:08:36
194,231,123141,123,450.0,2019.06.02 23:11:16
195,231,123141,123,50.0,2019.06.02 23:11:21
196,231,123141,123,51.0,2019.06.02 23:11:25
197,231,123141,123,499.0,2019.06.02 23:11:30
198,589*9,19498,789,51.0,2019.06.02 23:11:45
199,589*9,19498,789,200.0,2019.06.02 23:11:50
200,589*9,19498,789,249.0,2019.06.02 23:11:55
201,589*9,19498,789,1.0,2019.06.02 23:12:00
202,589*9,19498,789,499.0,2019.06.02 23:12:04
203,589*9,19498,789,499.0,2019.06.02 23:12:07
204,589*9,19498,789,499.0,2019.06.02 23:12:09
205,589*9,19498,789,499.0,2019.06.02 23:12:10
206,589*9,19498,789,499.0,2019.06.02 23:12:10
207,589*9,19498,789,499.0,2019.06.02 23:12:10
208,589*9,19498,789,499.0,2019.06.02 23:12:10
209,589*9,19498,789,499.0,2019.06.02 23:12:11
210,8789,4789,78949,98.4,2019.06.02 23:13:02
211,8789,4789,78949,158.5,2019.06.02 23:13:10
212,8789,4789,78949,499.0,2019.06.02 23:13:19
213,NI,103,123456789,42.45,2019.06.02 23:17:54
214,NI,103,123456789,3.75,2019.06.02 23:27:16
215,NI,103,123456789,63.75,2019.06.02 23:27:34
216,NI,103,123456789,63.75,2019.06.02 23:27:38
217,NI,103,123456789,71.25,2019.06.02 23:27:43
218,NI,103,123456789,71.25,2019.06.02 23:27:45
219,NI,103,123456789,63.75,2019.06.02 23:28:02
220,NI,103,123456789,63.75,2019.06.02 23:28:20
221,NI,103,123456789,63.75,2019.06.02 23:28:38
