KEY,NAME,ID,PHONE,VIPPOINT,VIPLV,TOTALCOST,DISCOUNT
14,linyubin,101,13025739386,225.0,GOLD,225.0,0.9
15,NI,103,123456789,1474.7,CROWN,1087.6,0.75
16,LINYUBIN,10024,13025739386,600.0,DIAMOND,600.0,0.6
17,YD,10086,1008611,8000.0,DIAMOND,8000.0,0.8
18,TESTQ,112,1549,10000.0,CROWN,10000.0,0.75
19,YU,113,1234,1500.0,DIAMOND,1500.0,0.8
20,K,114,54,200.0,Gold,200.0,0.9
21,KO,115,54,500.0,DIAMOND,500.0,0.9
22,KO1,116,545,501.0,DIAMOND,501.0,0.9
23,LP,152,489,727.0,CROWN,727.0,0.75
24,I,118,7,8000.0,CROWN,8000.0,0.75
25,OPW,158,189,8000.0,CROWN,8000.0,0.75
26,LL,1589,158,9000.0,CROWN,9000.0,0.75
27,I,8888,456,1002.0,CROWN,1002.0,0.75
28,O,4567,59,3755.0,GOLD,3755.0,0.9
29,n,789,456,1031.0,GOLD,1031.0,0.9
30,o,312,4,510.0,SILVER,510.0,1.0
31,W,12345,32,6002.0,GOLD,6002.0,0.9
32,FW,1234567,232,8700.0,GOLD,8700.0,0.9
33,IO,7891,478,400.0,SILVER,400.0,1.0
34,JHI,10010,789,401.0,SILVER,401.0,1.0
35,SWE,1008611,1324569,1499.0,CROWN,1499.0,0.75
36,O,8978,8,1499.0,CROWN,1499.0,0.75
37,se,456798,456,50500.0,CROWN,50500.0,0.75
38,889,48,8798,1000.0,DIAMOND,1000.0,0.8
39,231,123141,123,1050.0,CROWN,1050.0,0.75
40,589*9,19498,789,4493.0,CROWN,4493.0,0.75
41,8789,4789,78949,755.9,DIAMOND,755.9,0.8
